="RR-stage regressions: paper outcomes by referee using: Ref_Prom3 (robust SEs)"

="",="(1)",="(2)"
="",="asinh(cites) both",="RR"

="alpha",="",=""
="_cons",="1.598",="-4.040"
="",="(0.187)",="(0.584)"

="Int_Ref_Prom3",="",=""
="_cons",="0.507",="-0.745"
="",="(0.127)",="(0.251)"

="Slope_Ref_Prom3",="",=""
="_cons",="-0.228",="0.264"
="",="(0.166)",="(0.054)"

="Slope_JEL_Intl_fr",="",=""
="_cons",="-2.201",="0.267"
="",="(1.374)",="(0.184)"

="Slope_JEL_Exp_fr",="",=""
="_cons",="-1.454",="0.312"
="",="(4.322)",="(0.992)"

="Slope_JEL_Labor_fr",="",=""
="_cons",="-0.075",="0.187"
="",="(0.270)",="(0.151)"

="Slope_JEL_HealthUrbLaw_fr",="",=""
="_cons",="0.339",="-0.338"
="",="(0.301)",="(0.187)"

="Slope_JEL_Dev_fr",="",=""
="_cons",="-1.620",="0.428"
="",="(1.109)",="(0.206)"

="Slope_JEL_Hist_fr",="",=""
="_cons",="0.471",="0.255"
="",="(0.710)",="(0.231)"

="Slope_JEL_Pub_fr",="",=""
="_cons",="0.692",="0.405"
="",="(0.310)",="(0.160)"

="Slope_JEL_IO_fr",="",=""
="_cons",="-2.346",="0.358"
="",="(1.418)",="(0.158)"

="Slope_JEL_Fin_fr",="",=""
="_cons",="-0.908",="0.579"
="",="(1.661)",="(0.235)"

="Slope_JEL_Macro_fr",="",=""
="_cons",="-0.993",="0.079"
="",="(0.769)",="(0.245)"

="Slope_JEL_Theory_fr",="",=""
="_cons",="-262.718",="0.206"
="",="(.)",="(0.240)"

="Slope_JEL_Micro_fr",="",=""
="_cons",="-0.188",="0.113"
="",="(0.476)",="(0.215)"

="Slope_JEL_Other_fr",="",=""
="_cons",="-1.439",="0.320"
="",="(0.745)",="(0.306)"

="Slope_JEL_Metrics_fr",="",=""
="_cons",="-1.243",="-0.311"
="",="(0.901)",="(0.320)"

="Rej",="",=""
="_cons",="1.000",="0.747"
="",="(0.285)",="(0.327)"

="NoRec",="",=""
="_cons",="1.022",="2.294"
="",="(0.285)",="(0.362)"

="WeakRR",="",=""
="_cons",="1.470",="2.453"
="",="(0.273)",="(0.310)"

="RR",="",=""
="_cons",="1.606",="3.600"
="",="(0.252)",="(0.426)"

="StrongRR",="",=""
="_cons",="1.197",="4.518"
="",="(0.317)",="(0.442)"

="Accept",="",=""
="_cons",="1.891",="4.180"
="",="(0.313)",="(0.398)"

="ap_AuthPubs_1",="",=""
="_cons",="0.271",=""
="",="(0.081)",=""

="ap_AuthPubs_2",="",=""
="_cons",="0.462",=""
="",="(0.129)",=""

="ap_AuthPubs_3",="",=""
="_cons",="0.650",=""
="",="(0.103)",=""

="ap_AuthPubs_4",="",=""
="_cons",="0.791",=""
="",="(0.119)",=""

="ap_AuthPubs_6",="",=""
="_cons",="0.828",=""
="",="(0.129)",=""

="na_NAuthors_2",="",=""
="_cons",="0.167",=""
="",="(0.072)",=""

="na_NAuthors_3",="",=""
="_cons",="0.238",=""
="",="(0.104)",=""

="na_NAuthors_4",="",=""
="_cons",="0.174",=""
="",="(0.122)",=""

="ffr_JEL_Intl_fr",="",=""
="_cons",="1.348",=""
="",="(0.370)",=""

="ffr_JEL_Exp_fr",="",=""
="_cons",="0.808",=""
="",="(1.539)",=""

="ffr_JEL_Labor_fr",="",=""
="_cons",="0.473",=""
="",="(0.328)",=""

="ffr_JEL_HealthUrbLaw_fr",="",=""
="_cons",="-0.163",=""
="",="(0.420)",=""

="ffr_JEL_Dev_fr",="",=""
="_cons",="1.000",=""
="",="(0.416)",=""

="ffr_JEL_Hist_fr",="",=""
="_cons",="0.025",=""
="",="(0.844)",=""

="ffr_JEL_Pub_fr",="",=""
="_cons",="-0.583",=""
="",="(0.646)",=""

="ffr_JEL_IO_fr",="",=""
="_cons",="0.769",=""
="",="(0.281)",=""

="ffr_JEL_Fin_fr",="",=""
="_cons",="0.250",=""
="",="(0.779)",=""

="ffr_JEL_Macro_fr",="",=""
="_cons",="0.190",=""
="",="(0.381)",=""

="ffr_JEL_Theory_fr",="",=""
="_cons",="0.845",=""
="",="(0.582)",=""

="ffr_JEL_Micro_fr",="",=""
="_cons",="-0.146",=""
="",="(0.442)",=""

="ffr_JEL_Other_fr",="",=""
="_cons",="0.576",=""
="",="(0.370)",=""

="ffr_JEL_Metrics_fr",="",=""
="_cons",="0.590",=""
="",="(0.425)",=""

="yr_Year_2007",="",=""
="_cons",="-0.164",=""
="",="(0.113)",=""

="yr_Year_2008",="",=""
="_cons",="-0.562",=""
="",="(0.033)",=""

="yr_Year_2009",="",=""
="_cons",="-0.819",=""
="",="(0.111)",=""

="yr_Year_2010",="",=""
="_cons",="-1.064",=""
